cell_height,light_count,lamp_count,light_device,lamp_type,light_power,time,days,marker
,50,4,Светильник Армстронг,Светодиодная,48,16,245,
,10,4,Светильник светодиодный,Светодиодная,48,8,245,
,46,,Светильник светодиодный,Светодиодная,48,8,245,
,4,4,Светильник Армстронг,Светодиодная,48,16,300,
,4,2,Светильник люминисцентный,Люминисцентная,90,16,245,Необходима замена
,4,4,Светильник Армстронг,Светодиодная,48,16,245,
,6,2,Светильник люминисцентный,Люминисцентная,90,4,100,Необходима замена
,2,2,Светильник люминисцентный,Люминисцентная,90,8,300,Необходима замена
,50,4,Светильник Армстронг,Светодиодная,48,16,245,
,44,2,"Светодиодные светильники, светильники люминисцентные","Светодиодная, люминисцентная",,12,245,
,49,4,4 на 18,люминисцентные,72,10,247,
,66,4,4 на 18,светодиодные,40,10,247,
,153,2,2 на 36,люминисцентные,72,10,247,
,82,2,2 на 36,светодиодные,36,10,247,
,20,2,"""кристалл""",ЛБ,72,6,300,на замену
,5,2,"""кристалл""",ЛБ,72,12,330,на замену
,1,2,"""кристалл""",ЛБ,72,12,330,на замену
,,,,,,,,
,4,2,"""кристалл""",ЛБ,72,12,330,на замену
,4,2,"""кристалл""",ЛБ,72,12,330,на замену
,4,0,LPU,CL,36,8,330,
,2,0,LPU,CL,36,8,330,
,3,0,LPU,CL,36,8,330,
,2,2,"""кристалл""",ЛБ,72,12,330,на замену
,2,2,"""кристалл""",ЛБ,72,12,330,на замену
,2,0,LPU,CL,36,24,365,
,6,2,"""кристалл""",ЛБ,72,12,330,на замену
,2,2,"""кристалл""",ЛБ,72,12,330,на замену
,6,2,"""кристалл""",ЛБ,72,12,330,на замену
,4,0,LPU,CL,36,8,330,
,4,2,"""кристалл""",ЛБ,72,8,330,на замену
,4,2,"""кристалл""",ЛБ,72,8,330,на замену
,4,2,"""кристалл""",ЛБ,72,8,330,на замену
,4,2,"""кристалл""",ЛБ,72,8,330,на замену
,6,2,"""кристалл""",ЛБ,72,8,330,на замену
,2,1,"""кристалл""",ЛН,60,4,330,на замену
,4,2,"""кристалл""",ЛБ,72,12,330,на замену
,1,0,LPU,CL,36,6,330,
,3,2,"""кристалл""",ЛБ,72,8,330,на замену
,2,2,"""кристалл""",ЛБ,72,8,330,на замену
,1,2,"""кристалл""",ЛБ,72,12,330,на замену
,2,0,LPU,CL,36,8,330,
,3,0,LPU,CL,36,8,330,
,2,2,"""кристалл""",ЛБ,72,6,330,на замену
,4,2,"""кристалл""",ЛБ,72,6,330,на замену
,5,2,"""кристалл""",ЛБ,72,6,330,на замену
,3,0,LPU,CL,36,6,330,на замену
,6,2,"""кристалл""",ЛБ,72,2,330,на замену
,6,2,"""кристалл""",ЛБ,72,2,330,на замену
,4,2,"""кристалл""",ЛБ,72,8,330,на замену
,6,2, ,ЛН,60,1,330,на замену
,2,2, ,ЛН,60,1,330,на замену
,84,2, led -A60 - vc, ,72,8,330, 
,2,2,"""кристалл""",ЛБ,72,12,330,на замену
,3,4,"""кристалл""",ЛБ,72,12,330,на замену
,5,0,LPU,CL,36,6,330,
,32,4,"""кристалл""",ЛБ,72,12,330,на замену
,1,2,"""кристалл""",ЛБ,72,12,330,на замену
,2,2,"""кристалл""",ЛБ,72,12,330,на замену
,1,2,"""кристалл""",ЛБ,72,12,330,на замену
,32,4,"""кристалл""",ЛБ,72,12,330,на замену
,2,0,LPU,CL,36,8,330,
,2,0,LPU,CL,36,8,330,
,2,0,LPU,CL,36,8,330,
,2,0,LPU,CL,36,8,330,
,2,0,LPU,CL,36,8,330,
,2,0,LPU,CL,36,8,330,
,2,0,LPU,CL,36,8,330,
,1,0,LPU,CL,36,8,330,
,1,0,LPU,CL,36,8,330,
,4,0,LPU,CL,36,8,330,
,2,0,LPU,CL,36,8,330,
,10,0,LPU,CL,36,8,330,
,2,0,LPU,CL,36,8,330,
,2,0,LPU,CL,36,8,330,
,4,2,"""кристалл""",ЛБ,72,8,330,на замену
,6,2,"""кристалл""",ЛБ,72,8,330,на замену
,1,1,"""кристалл""",ЛН,60,4,330,на замену
,17,0,LPU,CL,36,8,330,на замену
,8,0,LPU,CL,36,8,330,
,13,0,LPU,CL,36,8,330,
,4,2, ,СВ,60,4,330,на замену
,4,2, ,СВ,60,4,330,на замену
,6,2,"""кристалл""",ЛБ,72,12,330,на замену
,4,2,"""кристалл""",ЛБ,72,12,330,на замену
,3,0,LPU,CL,36,24,330,
,4,2,"""кристалл""",ЛБ,72,12,330,на замену
,40,4,"""кристалл""",ЛБ,72,12,330,на замену
,2,2,"""кристалл""",ЛБ,72,12,330,на замену
,6,2,"""кристалл""",ЛБ,72,12,330,на замену
,2,2,"""кристалл""",ЛБ,72,8,330,на замену
,2,1, ,СВ,72,8,330,на замену
,2,1,"""кристалл""",ЛН,60,4,330,на замену
,2,1,"""кристалл""",ЛН,60,4,330,на замену
,12,4,"""кристалл""",ЛБ,72,8,330,на замену
,12,4,"""кристалл""",ЛБ,72,8,330,на замену
,12,4,"""кристалл""",ЛБ,72,8,330,на замену
,12,0,LPU,CL,36,8,330,
,9,4,"""кристалл""",ЛБ,72,6,330,на замену
,2,2,"""кристалл""",ЛБ,72,2,330,на замену
,11,4,"""кристалл""",ЛБ,72,8,330,на замену
,1,2,"""кристалл""",ЛБ,72,12,330,на замену
,1,0,LPU,CL,36,6,330,
,3,2,"""кристалл""",ЛБ,72,8,330,на замену
,2,2,"""кристалл""",ЛБ,72,8,330,на замену
,2,0,LPU,CL,36,8,330,
,2,0,LPU,CL,36,8,330,
,4,0,LPU,CL,36,6,330,
,3,0,LPU,CL,36,6,330,
,5,0,LPU,CL,36,6,330,
,6,0,LPU,CL,36,6,330,
,2,0,LPU,CL,36,6,330,
,5,0,LPU,CL,36,6,330,
,4,0,LPU,CL,36,6,330,
,3,0,LPU,CL,36,12,330,
,6,0,LPU,CL,36,12,330,
,22,0,LPU,CL,36,12,330,
,6,0,LPU,CL,36,12,330,
,6,0,LPU,CL,36,12,330,
,6,0,LPU,CL,36,12,330,
,23,0,LPU,CL,36,12,330,
,28,0,LPU,CL,36,12,330,
,6,0,LPU,CL,36,8,330,
,12,0,LPU,CL,36,8,330,
,12,0,LPU,CL,36,8,330,
,1,0,LPU,CL,36,3,330,
,4,4,"""кристалл""",ЛБ,72,12,330,на замену
,1,2,"""кристалл""",ЛБ,72,12,330,на замену
,2,0,vlsu- 36-400,CL,36,12,365,
,2,0,vlsu- 36-400,CL,36,12,365,
,2,0,vlsu- 36-400,CL,36,12,365,
,3,0,vlsu- 36-400,CL,36,12,365,
,2,0,vlsu- 36-400,CL,36,12,365,
,2,0,vlsu- 36-400,CL,36,12,365,
,2,0,vlsu- 36-400,CL,36,12,365,
,2,0,vlsu- 36-400,CL,36,12,365,
,2,0,vlsu- 36-400,CL,36,12,365,
,6,0,vlsu- 36-400,CL,36,12,365,
,2,2,"""кристалл""",ЛБ,72,8,330,на замену
,2,2,"""кристалл""",ЛБ,72,8,330,на замену
,2,2,"""кристалл""",ЛБ,72,12,330,на замену
,2,2,"""кристалл""",ЛБ,72,8,330,на замену
,4,2,"""кристалл""",ЛБ,72,8,330,на замену
,4,1,"""кристалл""",ЛР,60,4,330,на замену
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,6,4,"""кристалл""",ЛБ,72,12,330,на замену
,1,2,"""кристалл""",ЛБ,72,12,330,на замену
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,6,0,vlsu- 36-400,CL,36,12,330,
,3,4,"""кристалл""",ЛБ,72,8,330,на замену
,1,2,"""кристалл""",ЛБ,72,12,330,на замену
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,2,"""кристалл""",ЛБ,72,8,330,на замену
,2,2,"""кристалл""",ЛБ,72,8,330,на замену
,3,2,"""кристалл""",ЛБ,72,8,330,на замену
,6,0,vlsu- 36-400,CL,36,12,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,2,"""кристалл""",ЛБ,72,8,330,на замену
,2,2,"""кристалл""",ЛБ,72,8,330,на замену
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,6,0,vlsu- 36-400,CL,36,12,330,
,6,4,vlsu- 36-400,CL,36,12,330,
,1,4,"""кристалл""",ЛБ,72,12,330,на замену
,2,2,"""кристалл""",ЛБ,72,8,330,на замену
,1,2,"""кристалл""",ЛБ,72,12,330,на замену
,3,4,"""кристалл""",ЛБ,72,12,330,на замену
,6,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
